study,reader_or_comparator,condition,question,stratum,n,metric,value,evidence_status
I,luna,R00,user_literal,all,64,G,63,verified_from_saved_artifacts
I,luna,R00,user_literal,all,64,D,0,verified_from_saved_artifacts
I,luna,R00,user_literal,all,64,A,63,verified_from_saved_artifacts
I,luna,R00,user_literal,all,64,U,1,verified_from_saved_artifacts
I,luna,R00,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R00,user_literal,all,64,W,0,verified_from_saved_artifacts
I,luna,R00,user_literal,all,64,answerable,0,verified_from_saved_artifacts
I,luna,R00,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,luna,R00,prior_external,all,64,G,60,verified_from_saved_artifacts
I,luna,R00,prior_external,all,64,D,60,verified_from_saved_artifacts
I,luna,R00,prior_external,all,64,A,0,verified_from_saved_artifacts
I,luna,R00,prior_external,all,64,U,0,verified_from_saved_artifacts
I,luna,R00,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R00,prior_external,all,64,W,60,verified_from_saved_artifacts
I,luna,R00,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,luna,R00,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,luna,R00,basis_relation,all,64,G,64,verified_from_saved_artifacts
I,luna,R00,basis_relation,all,64,D,0,verified_from_saved_artifacts
I,luna,R00,basis_relation,all,64,A,64,verified_from_saved_artifacts
I,luna,R00,basis_relation,all,64,U,0,verified_from_saved_artifacts
I,luna,R00,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R00,basis_relation,all,64,W,0,verified_from_saved_artifacts
I,luna,R00,basis_relation,all,64,answerable,0,verified_from_saved_artifacts
I,luna,R00,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
I,luna,R10,user_literal,all,64,G,55,verified_from_saved_artifacts
I,luna,R10,user_literal,all,64,D,0,verified_from_saved_artifacts
I,luna,R10,user_literal,all,64,A,55,verified_from_saved_artifacts
I,luna,R10,user_literal,all,64,U,9,verified_from_saved_artifacts
I,luna,R10,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R10,user_literal,all,64,W,5,verified_from_saved_artifacts
I,luna,R10,user_literal,all,64,answerable,0,verified_from_saved_artifacts
I,luna,R10,user_literal,all,64,invalid,0,verified_from_saved_artifacts
I,luna,R10,prior_external,all,64,G,55,verified_from_saved_artifacts
I,luna,R10,prior_external,all,64,D,55,verified_from_saved_artifacts
I,luna,R10,prior_external,all,64,A,0,verified_from_saved_artifacts
I,luna,R10,prior_external,all,64,U,0,verified_from_saved_artifacts
I,luna,R10,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R10,prior_external,all,64,W,55,verified_from_saved_artifacts
I,luna,R10,prior_external,all,64,answerable,64,verified_from_saved_artifacts
I,luna,R10,prior_external,all,64,invalid,0,verified_from_saved_artifacts
I,luna,R10,basis_relation,all,64,G,32,verified_from_saved_artifacts
I,luna,R10,basis_relation,all,64,D,31,verified_from_saved_artifacts
I,luna,R10,basis_relation,all,64,A,1,verified_from_saved_artifacts
I,luna,R10,basis_relation,all,64,U,27,verified_from_saved_artifacts
I,luna,R10,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R10,basis_relation,all,64,W,49,verified_from_saved_artifacts
I,luna,R10,basis_relation,all,64,answerable,36,verified_from_saved_artifacts
I,luna,R10,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
I,luna,R01,user_literal,all,64,G,63,verified_from_saved_artifacts
I,luna,R01,user_literal,all,64,D,63,verified_from_saved_artifacts
I,luna,R01,user_literal,all,64,A,0,verified_from_saved_artifacts
I,luna,R01,user_literal,all,64,U,1,verified_from_saved_artifacts
I,luna,R01,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
I,luna,R01,user_literal,all,64,W,63,verified_from_saved_artifacts
I,luna,R01,user_literal,all,64,answerable,64,verified_from_saved_artifacts
