study,condition,question,N,G,D,A,U,U_unknown,W,answerable,invalid,nonempty_source_set,empty_source_set,basis_missing,evidence_status
I,R00,user_literal,64,64,0,64,0,0,0,0,0,0,0,0,verified_from_saved_artifacts
I,R00,prior_external,64,64,64,0,0,0,64,64,0,38,26,0,verified_from_saved_artifacts
I,R00,basis_relation,64,64,0,64,0,0,0,0,0,0,0,0,verified_from_saved_artifacts
I,R10,user_literal,64,64,0,64,0,0,0,0,0,0,0,0,verified_from_saved_artifacts
I,R10,prior_external,64,64,64,0,0,0,64,64,0,38,26,0,verified_from_saved_artifacts
I,R10,basis_relation,64,64,36,28,0,0,36,36,0,0,18,18,verified_from_saved_artifacts
I,R01,user_literal,64,64,64,0,0,0,64,64,0,0,0,0,verified_from_saved_artifacts
I,R01,prior_external,64,64,64,0,0,0,64,64,0,38,26,0,verified_from_saved_artifacts
I,R01,basis_relation,64,64,0,64,0,0,0,0,0,0,0,0,verified_from_saved_artifacts
I,R11,user_literal,64,64,64,0,0,0,64,64,0,0,0,0,verified_from_saved_artifacts
I,R11,prior_external,64,64,64,0,0,0,64,64,0,38,26,0,verified_from_saved_artifacts
I,R11,basis_relation,64,64,64,0,0,0,64,64,0,24,22,18,verified_from_saved_artifacts
II,C00,user_literal,64,64,0,64,0,0,0,0,0,0,0,0,verified_from_saved_artifacts
II,C00,prior_external,64,64,64,0,0,0,64,64,0,38,26,0,verified_from_saved_artifacts
II,C00,basis_relation,64,64,36,28,0,0,36,36,0,0,18,18,verified_from_saved_artifacts
II,C10,user_literal,64,64,0,64,0,0,0,0,0,0,0,0,verified_from_saved_artifacts
II,C10,prior_external,64,64,64,0,0,0,64,64,0,38,26,0,verified_from_saved_artifacts
II,C10,basis_relation,64,64,64,0,0,0,64,64,0,24,22,18,verified_from_saved_artifacts
II,C01,user_literal,64,64,0,64,0,0,0,0,0,0,0,0,verified_from_saved_artifacts
II,C01,prior_external,64,64,64,0,0,0,64,64,0,38,26,0,verified_from_saved_artifacts
II,C01,basis_relation,64,64,36,28,0,0,36,36,0,0,18,18,verified_from_saved_artifacts
II,C11,user_literal,64,64,0,64,0,0,0,0,0,0,0,0,verified_from_saved_artifacts
II,C11,prior_external,64,64,64,0,0,0,64,64,0,38,26,0,verified_from_saved_artifacts
II,C11,basis_relation,64,64,64,0,0,0,64,64,0,24,22,18,verified_from_saved_artifacts
